{ 08 80 B8 62 FF 51 00 00 00 00 16 2E }, Delta:2988.681ms, Position:[25272,20991], Pressure:0, PenButtons:[False False False], Tilt:[22,46], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 B8 62 FF 51 00 00 00 00 16 2E }, Delta:4.646ms, Position:[25272,20991], Pressure:0, PenButtons:[False False False], Tilt:[22,46], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 00 B8 62 FF 51 00 00 00 00 16 2E }, Delta:10.463ms, Pen is out of Range, ReportType:OpenTabletDriver.Plugin.Tablet.OutOfRangeReport
{ 08 80 93 49 26 46 00 00 00 00 17 38 }, Delta:117.792ms, Position:[18835,17958], Pressure:0, PenButtons:[False False False], Tilt:[23,56], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 56 49 CF 45 00 00 00 00 17 01 }, Delta:5.356ms, Position:[18774,17871], Pressure:0, PenButtons:[False False False], Tilt:[23,1], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 2D 49 96 45 00 00 00 00 17 01 }, Delta:18.674ms, Position:[18733,17814], Pressure:0, PenButtons:[False False False], Tilt:[23,1], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 01 49 5A 45 00 00 00 00 17 01 }, Delta:0.188ms, Position:[18689,17754], Pressure:0, PenButtons:[False False False], Tilt:[23,1], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 D3 48 1B 45 00 00 00 00 17 01 }, Delta:0.093ms, Position:[18643,17691], Pressure:0, PenButtons:[False False False], Tilt:[23,1], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 A3 48 D9 44 00 00 00 00 17 01 }, Delta:0.070ms, Position:[18595,17625], Pressure:0, PenButtons:[False False False], Tilt:[23,1], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 71 48 96 44 00 00 00 00 19 01 }, Delta:0.069ms, Position:[18545,17558], Pressure:0, PenButtons:[False False False], Tilt:[25,1], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 3E 48 53 44 00 00 00 00 19 01 }, Delta:0.073ms, Position:[18494,17491], Pressure:0, PenButtons:[False False False], Tilt:[25,1], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 0A 48 10 44 00 00 00 00 19 02 }, Delta:0.093ms, Position:[18442,17424], Pressure:0, PenButtons:[False False False], Tilt:[25,2], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 C2 47 B5 43 00 00 00 00 19 02 }, Delta:3.063ms, Position:[18370,17333], Pressure:0, PenButtons:[False False False], Tilt:[25,2], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 6D 47 4F 43 00 00 00 00 1A 02 }, Delta:1.918ms, Position:[18285,17231], Pressure:0, PenButtons:[False False False], Tilt:[26,2], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 0F 47 E3 42 00 00 00 00 1A 02 }, Delta:5.586ms, Position:[18191,17123], Pressure:0, PenButtons:[False False False], Tilt:[26,2], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 AB 46 75 42 00 00 00 00 1A 04 }, Delta:0.115ms, Position:[18091,17013], Pressure:0, PenButtons:[False False False], Tilt:[26,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 42 46 07 42 00 00 00 00 1A 04 }, Delta:7.972ms, Position:[17986,16903], Pressure:0, PenButtons:[False False False], Tilt:[26,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 D6 45 9B 41 00 00 00 00 1B 04 }, Delta:0.167ms, Position:[17878,16795], Pressure:0, PenButtons:[False False False], Tilt:[27,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 69 45 32 41 00 00 00 00 1B 04 }, Delta:0.082ms, Position:[17769,16690], Pressure:0, PenButtons:[False False False], Tilt:[27,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 69 45 32 41 00 00 00 00 1B 04 }, Delta:0.236ms, Position:[17769,16690], Pressure:0, PenButtons:[False False False], Tilt:[27,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 00 69 45 32 41 00 00 00 00 1B 04 }, Delta:9.362ms, Pen is out of Range, ReportType:OpenTabletDriver.Plugin.Tablet.OutOfRangeReport
{ 08 80 A9 3A 2F 35 00 00 00 00 1B 2E }, Delta:64.858ms, Position:[15017,13615], Pressure:0, PenButtons:[False False False], Tilt:[27,46], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 95 3A 0C 35 00 00 00 00 1B 04 }, Delta:10.624ms, Position:[14997,13580], Pressure:0, PenButtons:[False False False], Tilt:[27,4], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
