0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,834 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27841536 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,835 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27841536 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,835 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27841536 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,835 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27841536 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,835 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27843584 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,835 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27843584 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,835 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27843584 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,835 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27843584 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,835 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27844608 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,835 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27844608 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,835 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27844608 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,835 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27844608 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,836 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27846656 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,836 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27846656 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,836 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27846656 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,836 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27846656 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,836 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27848704 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,836 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27848704 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,836 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27848704 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,836 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27848704 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,837 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27849728 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,837 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27849728 - Failed to decode the audio samples.
