0x7fa54547c000 | Main                 | INFO  | 2026-06-19 20:28:36,668 | Running DaVinci Resolve Studio v21.0.0.0048 (Linux/Clang x86_64)
0x7fa54547c000 | Main                 | INFO  | 2026-06-19 20:28:36,668 | BMD_BUILD_UUID 83113754-3984-463f-95ce-3cd3fd8c7bf7
0x7fa54547c000 | Main                 | INFO  | 2026-06-19 20:28:36,668 | BMD_GIT_COMMIT 314d69f5b6aff330fb8d31b3a5243b3f291580a0
0x7fa54547c000 | GPUDetect            | INFO  | 2026-06-19 20:28:36,669 | Starting GPUDetect 1.2_10-a3
0x7fa54547c000 | GPUDetect            | WARN  | 2026-06-19 20:28:36,993 | X11 logs not found.
0x7fa54547c000 | GPUDetect            | ERROR | 2026-06-19 20:28:36,994 | No Main Display GPU found and no monitors found to match, defaulting to gpu:78859c6a.9db9a58e.
0x7fa54547c000 | GPUDetect            | INFO  | 2026-06-19 20:28:36,994 | Done in 324 ms.
0x7fa54547c000 | GPUDetect            | INFO  | 2026-06-19 20:28:36,994 | Detected System:
0x7fa54547c000 | GPUDetect            | INFO  | 2026-06-19 20:28:36,994 |   - OS: Linux Fedora release 44 (Forty Four)
0x7fa54547c000 | GPUDetect            | INFO  | 2026-06-19 20:28:36,994 |   - Model: Framework FRANMDCP05
0x7fa54547c000 | GPUDetect            | INFO  | 2026-06-19 20:28:36,994 |   - System ID: a215d0be4d074016a34c6fb2e517f0fa
0x7fa54547c000 | GPUDetect            | INFO  | 2026-06-19 20:28:36,994 |   - CPU: AMD Ryzen 5 7640U w/ Radeon 760M Graphics, 12 threads, x86-64
0x7fa54547c000 | GPUDetect            | INFO  | 2026-06-19 20:28:36,994 |   - RAM: 5.5 GiB used of 7.1 GiB
0x7fa54547c000 | GPUDetect            | INFO  | 2026-06-19 20:28:36,994 | Detected 1 GPUs:
0x7fa54547c000 | GPUDetect            | INFO  | 2026-06-19 20:28:36,994 |   - "AMD Radeon 760M Graphics" (gpu:78859c6a.9db9a58e) <- Main Display GPU
0x7fa54547c000 | GPUDetect            | INFO  | 2026-06-19 20:28:36,994 |     Discrete, 84 MiB used of 3.5 GiB VRAM, PCI:193:0
0x7fa54547c000 | GPUDetect            | INFO  | 2026-06-19 20:28:36,994 |     Matches: OpenCL
0x7fa54547c000 | GPUDetect            | INFO  | 2026-06-19 20:28:36,994 | Detected 1 monitors:
0x7fa54547c000 | Main.GPUConfig       | INFO  | 2026-06-19 20:28:36,994 | Compute API set to automatic, defaulting to OpenCL.
0x7fa54547c000 | Main.GPUConfig       | INFO  | 2026-06-19 20:28:36,994 | Selected compute API: OpenCL
0x7fa54547c000 | Main.GPUConfig       | INFO  | 2026-06-19 20:28:36,994 | Automatic GPU Selection:
0x7fa54547c000 | Main.GPUConfig       | INFO  | 2026-06-19 20:28:36,994 |   - "AMD Radeon 760M Graphics" (gpu:78859c6a.9db9a58e)
0x7fa54547c000 | IO                   | INFO  | 2026-06-19 20:28:36,994 | RED InitializeSdk with library path at /opt/resolve/libs
0x7fa54547c000 | IO                   | INFO  | 2026-06-19 20:28:37,037 | R3DAPI 9.1.1-57f6471 (20251008 Lx64S OpenCL-Fix) R3DSDK 9.1.1-57f6471 (20251008 Lx64D C3B3 OpenCL-Fix) RED OPENCL 9.1.2-0 (20251008) [/opt/resolve/libs/] init is successful
libDeckLinkAPI.so: cannot open shared object file: No such file or directory
0x7fa54547c000 | Main                 | INFO  | 2026-06-19 20:28:37,037 | Decklink model name: '', version: ''
0x7fa54547c000 | DVIP                 | INFO  | 2026-06-19 20:28:37,037 | DVIP release/21.0 build 184 (4870da638819699617285e5fb7d13009b255a527). Release, version 21.0.0.
0x7fa3ddbea000 | IO                   | INFO  | 2026-06-19 20:28:37,181 | Using DNxHR library v3.0.0.1312r
0x7fa3de3eb000 | Fusion               | INFO  | 2026-06-19 20:28:37,503 | Fusion Build: 262ce26d_0037 (Jun  2 2026 06:52:21)
0x7fa3c07f9000 | Fusion               | INFO  | 2026-06-19 20:28:37,541 | fusionsystem: = "/opt/resolve/libs/Fusion/libfusionsystem.so"
0x7fa3c07f9000 | Fusion               | INFO  | 2026-06-19 20:28:37,557 | FusionLibs: = "/opt/resolve/libs/Fusion/"
