0x7fdb4ddd0000 | Main                 | INFO  | 2026-02-20 22:33:28,514 | Application state changed to Active
0x7fdb4ddd0000 | SyManager.ProjectManager | INFO  | 2026-02-20 22:33:28,819 | Start saving project Untitled Project 4
0x7fdb4ddd0000 | SyManager.ProjectManager | INFO  | 2026-02-20 22:33:28,833 | Saving project took 14 ms
0x7fdb4ddd0000 | Main                 | INFO  | 2026-02-20 22:33:29,285 | Application state changed to Inactive
0x7fdb4ddd0000 | Main                 | INFO  | 2026-02-20 22:33:29,949 | Application state changed to Active
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,244 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,244 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,244 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,244 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,244 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,244 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,244 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,244 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,244 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,244 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,245 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 72910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,245 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,245 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 72910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,245 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,245 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 72910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,245 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 72910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,245 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 72910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,245 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 72910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,246 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 72910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,246 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 72910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,247 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 72910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,247 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 72910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,248 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 468910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,248 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 468910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,248 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 576910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,248 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 576910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,248 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 72910 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,248 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 72910 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:35,249 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 468910 - Failed to decode the audio samples.
